Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Imrul Kayes,12,12,1,312,67,28.36,272,114.7,0,2,3,32,10
Tamim Iqbal,9,9,1,298,69,37.25,251,118.72,0,3,0,29,9
Mahmudullah,13,12,2,279,51,27.9,278,100.35,0,2,0,27,3
Jahurul Islam,9,9,4,205,62*,41,205,100,0,1,0,17,4
Nasir Hossain,11,11,1,193,33,19.3,188,102.65,0,0,0,8,9
Sabbir Rahman,13,10,0,189,79,18.9,182,103.84,0,1,1,14,7
Soumya Sarkar,12,12,1,177,58*,16.09,159,111.32,0,1,1,26,3
Mushfiqur Rahim,10,9,3,157,50*,26.16,142,110.56,0,1,2,12,3
Anamul Haque,10,9,1,142,39*,17.75,132,107.57,0,0,1,13,3
Shakib Al Hasan,11,11,3,136,33,17,131,103.81,0,0,1,12,2
Rony Talukdar,13,12,0,132,38,11,140,94.28,0,0,1,13,2
Mohammad Mithun,12,9,1,130,55,16.25,127,102.36,0,1,1,11,4
Mehedi Maruf,10,9,1,126,37,15.75,152,82.89,0,0,1,9,6
Liton Das,9,9,0,123,42,13.66,132,93.18,0,0,1,12,1
Mosaddek Hossain,7,7,2,116,30*,23.2,123,94.3,0,0,0,9,2
Nurul Hasan,10,9,3,115,35*,19.16,98,117.34,0,0,1,9,3
Yasir Ali,7,5,0,112,63,22.4,99,113.13,0,1,0,6,6
Junaid Siddique,5,5,1,105,51,26.25,111,94.59,0,1,0,9,3
Shahriar Nafees,5,5,1,104,44*,26,95,109.47,0,0,0,10,3
Mashrafe Mortaza,12,7,2,102,56*,20.4,79,129.11,0,1,1,5,6
Alok Kapali,10,6,3,95,39*,31.66,80,118.75,0,0,0,8,2
Shuvagata Hom,12,9,1,94,30,11.75,66,142.42,0,0,1,10,4
Naeem Islam,4,4,2,87,38,43.5,103,84.46,0,0,0,6,1
Shadman Islam,4,4,0,86,45,21.5,93,92.47,0,0,0,12,0
Nadif Chowdhury,8,5,0,84,30,16.8,100,84,0,0,0,4,3
Ziaur Rahman,9,7,2,83,39*,16.6,62,133.87,0,0,0,4,6
Shykat Ali,7,7,0,80,23,11.42,79,101.26,0,0,1,8,2
Mominul Haque,8,7,1,78,29,13,92,84.78,0,0,0,12,0
Farhad Reza,9,5,1,76,31,19,64,118.75,0,0,0,7,2
Mahmudul Hasan,6,4,0,72,31,18,101,71.28,0,0,0,9,0
