Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Abu Hider,12,12,45.4,1,316,21,19-Apr,15.04,6.91,13,2,0
Abu Jayed,9,7,15,0,118,5,5-Feb,23.6,7.86,18,0,0
Abul Hasan,10,10,29,0,243,11,29-Mar,22.09,8.37,15.8,0,0
Al-Amin Hossain,13,13,49,0,389,17,May-36,22.88,7.93,17.2,0,1
Arafat Sunny,11,11,36,0,236,16,14-Apr,14.75,6.55,13.5,1,0
Farhad Reza,9,9,26.2,0,198,7,26-Feb,28.28,7.51,22.5,0,0
Mahmudullah,13,7,14.5,0,92,5,23-Feb,18.4,6.2,17.8,0,0
Mashrafe Mortaza,12,9,30.2,0,187,5,13-Jan,37.4,6.16,36.4,0,0
Mohammad Shahid,10,10,36.3,1,226,14,12-Apr,16.14,6.19,15.6,1,0
Mosharraf Hossain,10,10,27,0,165,16,16-Apr,10.31,6.11,10.1,1,0
Mustafizur Rahman,10,10,37.3,1,214,14,14-Mar,15.28,5.7,16,0,0
Nabil Samad,5,5,15,1,93,3,23-Feb,31,6.2,30,0,0
Naeem Islam,4,3,9,0,45,3,7-Mar,15,5,18,0,0
Nasir Hossain,11,9,24,3,121,6,12-Mar,20.16,5.04,24,0,0
Nazmul Islam,5,4,11,0,78,5,18-Mar,15.6,7.09,13.2,0,0
Rubel Hossain,6,6,14.5,0,135,4,6-Feb,33.75,9.1,22.2,0,0
Saqlain Sajib,8,8,21.5,0,153,8,26-Mar,19.12,7,16.3,0,0
Shafiul Islam,10,10,33.1,0,278,13,21-Mar,21.38,8.38,15.3,0,0
Shakib Al Hasan,11,11,41,2,262,18,16-Apr,14.55,6.39,13.6,1,0
Shuvagata Hom,12,6,16,1,108,5,8-Mar,21.6,6.75,19.2,0,0
Taijul Islam,11,11,28.2,0,181,8,23-Mar,22.62,6.38,21.2,0,0
Taskin Ahmed,7,7,25,1,213,4,23-Jan,53.25,8.52,37.5,0,0
