Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,Serial,BP
Abu Hider,14,20,10,1,1,140,2,,v Zimbabwe,Khulna,22-Jan-16,1,19.6
Al-Amin Hossain,1*,1,2,0,0,50,1,,v Zimbabwe,Dhaka,15-Nov-15,2,0.5
Al-Amin Hossain,0,3,2,0,0,0,2,,v New Zealand,Kolkata,26-Mar-16,3,0
Anamul Haque,1,5,2,0,0,50,2,,v Zimbabwe,Dhaka,13-Nov-15,4,0.5
Anamul Haque,47,70,51,3,0,92.15,1,,v Zimbabwe,Dhaka,15-Nov-15,5,43.31372549
Arafat Sunny,1*,8,2,0,0,50,2,,v South Africa,Dhaka,5-Jul-15,6,0.5
Arafat Sunny,5*,11,5,0,0,100,2,,v South Africa,Dhaka,7-Jul-15,7,5
Arafat Sunny,5,7,8,0,0,62.5,1,,v Zimbabwe,Dhaka,15-Nov-15,8,3.125
Arafat Sunny,10,8,5,2,0,200,2,,v Zimbabwe,Khulna,22-Jan-16,9,20
Arafat Sunny,8*,5,4,0,1,200,1,,v Netherlands,Dharamsala,9-Mar-16,10,16
Imrul Kayes,10,27,11,2,0,90.9,1,,v Zimbabwe,Dhaka,15-Nov-15,11,9.090909091
Imrul Kayes,1,3,3,0,0,33.33,2,,v Zimbabwe,Khulna,20-Jan-16,12,0.333333333
Imrul Kayes,18,23,14,2,1,128.57,2,,v Zimbabwe,Khulna,22-Jan-16,13,23.14285714
Imrul Kayes,14,29,24,1,0,58.33,2,,v India,Dhaka,24-Feb-16,14,8.166666667
Liton Das,22,33,26,0,1,84.61,2,,v South Africa,Dhaka,5-Jul-15,15,18.61538462
Liton Das,10,11,7,1,0,142.85,2,,v South Africa,Dhaka,7-Jul-15,16,14.28571429
Liton Das,17,22,12,2,0,141.66,2,,v Zimbabwe,Dhaka,13-Nov-15,17,24.08333333
Mahmudullah,22*,38,21,2,0,104.76,2,,v Zimbabwe,Dhaka,13-Nov-15,18,23.04761905
Mahmudullah,8,2,4,2,0,200,1,,v Zimbabwe,Dhaka,15-Nov-15,19,16
Mahmudullah,7,-,3,0,1,233.33,2,,v Zimbabwe,Khulna,15-Jan-16,20,16.33333333
Mahmudullah,1,3,3,0,0,33.33,1,,v Zimbabwe,Khulna,17-Jan-16,21,0.333333333
Mahmudullah,6,6,4,0,0,150,2,,v Zimbabwe,Khulna,20-Jan-16,22,9
Mahmudullah,54,61,41,5,2,131.7,2,,v Zimbabwe,Khulna,22-Jan-16,23,71.12195122
Mahmudullah,7,9,6,1,0,116.66,2,,v India,Dhaka,24-Feb-16,24,8.166666667
Mahmudullah,36*,36,27,1,2,133.33,1,,v U.A.E.,Dhaka,26-Feb-16,25,48
Mahmudullah,23*,23,12,2,1,191.66,1,,v Sri Lanka,Dhaka,28-Feb-16,26,44.08333333
Mahmudullah,22*,33,15,2,1,146.66,2,,v Pakistan,Dhaka,2-Mar-16,27,32.26666667
Mahmudullah,33*,18,13,2,2,253.84,1,,v India,Dhaka,6-Mar-16,28,83.76923077
