Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
Abdur Razzak,0,5,2,0,0,0,1,v Zimbabwe,Khulna,28-Nov-06
Abdur Razzak,DNB,-,-,-,-,-,2,v Kenya,Nairobi (Gym),1-Sep-07
Abdur Razzak,DNB,-,-,-,-,-,2,v Pakistan,Nairobi (Gym),2-Sep-07
Abdur Razzak,DNB,-,-,-,-,-,2,v West Indies,Johannesburg,13-Sep-07
Abdur Razzak,2*,10,6,0,0,33.33,1,v South Africa,Cape Town,15-Sep-07
Abdur Razzak,0*,2,0,0,0,-,1,v Australia,Cape Town,16-Sep-07
Abdur Razzak,5,10,12,0,0,41.66,2,v Sri Lanka,Johannesburg,18-Sep-07
Abdur Razzak,0,1,1,0,0,0,1,v Pakistan,Cape Town,20-Sep-07
Abdur Razzak,1*,5,3,0,0,33.33,2,v Pakistan,Karachi,20-Apr-08
Abdur Razzak,0,2,2,0,0,0,2,v South Africa,Johannesburg,5-Nov-08
Abdur Razzak,0*,4,0,0,0,-,1,v Ireland,Nottingham,8-Jun-09
Abdur Razzak,DNB,-,-,-,-,-,2,v Pakistan,Gros Islet,1-May-10
Abdur Razzak,3*,6,8,0,0,37.5,2,v Australia,Bridgetown,5-May-10
Abdur Razzak,1*,2,1,0,0,100,2,v West Indies,Dhaka,11-Oct-11
Abdur Razzak,9,10,9,1,0,100,2,v Pakistan,Dhaka,29-Nov-11
Abdur Razzak,DNB,-,-,-,-,-,1,v Ireland,Belfast,18-Jul-12
Abdur Razzak,DNB,-,-,-,-,-,1,v Ireland,Belfast,20-Jul-12
Abdur Razzak,3*,9,4,0,0,75,2,v Ireland,Belfast,21-Jul-12
Abdur Razzak,1,2,2,0,0,50,2,v Scotland,The Hague,24-Jul-12
Abdur Razzak,DNB,-,-,-,-,-,2,v Netherlands,The Hague,25-Jul-12
Abdur Razzak,2,3,2,0,0,100,1,v Netherlands,The Hague,26-Jul-12
Abdur Razzak,0*,5,2,0,0,0,2,v New Zealand,Pallekele,21-Sep-12
Abdur Razzak,DNB,-,-,-,-,-,1,v Pakistan,Pallekele,25-Sep-12
Abdur Razzak,DNB,-,-,-,-,-,2,v West Indies,Dhaka,10-Dec-12
Abdur Razzak,6*,12,8,0,0,75,2,v Sri Lanka,Pallekele,31-Mar-13
Abdur Razzak,2,4,4,0,0,50,2,v Zimbabwe,Bulawayo,11-May-13
Abdur Razzak,6*,9,6,0,0,100,1,v Zimbabwe,Bulawayo,12-May-13
Abdur Razzak,0,4,1,0,0,0,2,v New Zealand,Dhaka,6-Nov-13
Abdur Razzak,DNB,-,-,-,-,-,2,v Afghanistan,Dhaka,16-Mar-14
Abdur Razzak,DNB,-,-,-,-,-,2,v Nepal,Chittagong,18-Mar-14
Abdur Razzak,0,1,1,0,0,0,1,v Hong Kong,Chittagong,20-Mar-14
Abdur Razzak,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,30-Mar-14
Abdur Razzak,DNB,-,-,-,-,-,1,v Australia,Dhaka,1-Apr-14
Abdur Razzak,DNB,-,-,-,-,-,1,v West Indies,Basseterre,27-Aug-14
Abul Hasan,DNB,-,-,-,-,-,1,v Ireland,Belfast,18-Jul-12
Abul Hasan,DNB,-,-,-,-,-,1,v Ireland,Belfast,20-Jul-12
Abul Hasan,9,15,8,1,0,112.5,2,v Scotland,The Hague,24-Jul-12
Abul Hasan,DNB,-,-,-,-,-,1,v Pakistan,Pallekele,25-Sep-12
Abu Hider,DNB,-,-,-,-,-,2,v Zimbabwe,Khulna,20-Jan-16
Abu Hider,14,20,10,1,1,140,2,v Zimbabwe,Khulna,22-Jan-16
Abu Hider,DNB,-,-,-,-,-,1,v India,Dhaka,6-Mar-16
Abu Hider,DNB,-,-,-,-,-,1,v Ireland,Dharamsala,11-Mar-16
Abu Hider,DNB,-,-,-,-,-,1,v Oman,Dharamsala,13-Mar-16
Aftab Ahmed,28,28,19,4,1,147.36,1,v Zimbabwe,Khulna,28-Nov-06
Aftab Ahmed,17,-,6,2,1,283.33,2,v Kenya,Nairobi (Gym),1-Sep-07
Aftab Ahmed,5,-,6,1,0,83.33,2,v Pakistan,Nairobi (Gym),2-Sep-07
Aftab Ahmed,62*,74,49,8,1,126.53,2,v West Indies,Johannesburg,13-Sep-07
Aftab Ahmed,36,15,14,5,2,257.14,1,v South Africa,Cape Town,15-Sep-07
Aftab Ahmed,31,51,34,2,0,91.17,1,v Australia,Cape Town,16-Sep-07
Aftab Ahmed,18,13,11,3,0,163.63,2,v Sri Lanka,Johannesburg,18-Sep-07
Aftab Ahmed,15,26,17,0,0,88.23,1,v Pakistan,Cape Town,20-Sep-07
Aftab Ahmed,3,7,5,0,0,60,2,v Pakistan,Karachi,20-Apr-08
Aftab Ahmed,12,14,14,1,1,85.71,1,v New Zealand,Hamilton,3-Feb-10
Aftab Ahmed,1,12,3,0,0,33.33,2,v Australia,Bridgetown,5-May-10
Alok Kapali,17*,-,19,1,0,89.47,2,v Kenya,Nairobi (Gym),1-Sep-07
Alok Kapali,19,-,11,2,1,172.72,2,v Pakistan,Nairobi (Gym),2-Sep-07
Alok Kapali,5*,6,7,0,0,71.42,2,v West Indies,Johannesburg,13-Sep-07
Alok Kapali,14,45,35,0,0,40,1,v South Africa,Cape Town,15-Sep-07
Alok Kapali,0,1,1,0,0,0,1,v Australia,Cape Town,16-Sep-07
Alok Kapali,2,6,9,0,0,22.22,2,v West Indies,Dhaka,11-Oct-11
Alok Kapali,0,4,3,0,0,0,2,v Pakistan,Dhaka,29-Nov-11
Al-Amin Hossain,5*,3,3,1,0,166.66,2,v New Zealand,Dhaka,6-Nov-13
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Afghanistan,Dhaka,16-Mar-14
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Nepal,Chittagong,18-Mar-14
Al-Amin Hossain,1,8,5,0,0,20,1,v Hong Kong,Chittagong,20-Mar-14
Al-Amin Hossain,0*,3,0,0,0,-,2,v West Indies,Dhaka,25-Mar-14
Al-Amin Hossain,DNB,-,-,-,-,-,1,v India,Dhaka,28-Mar-14
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,30-Mar-14
Al-Amin Hossain,DNB,-,-,-,-,-,1,v Australia,Dhaka,1-Apr-14
Al-Amin Hossain,DNB,-,-,-,-,-,1,v West Indies,Basseterre,27-Aug-14
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Zimbabwe,Dhaka,13-Nov-15
Al-Amin Hossain,1*,1,2,0,0,50,1,v Zimbabwe,Dhaka,15-Nov-15
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Zimbabwe,Khulna,15-Jan-16
Al-Amin Hossain,DNB,-,-,-,-,-,1,v Zimbabwe,Khulna,17-Jan-16
Al-Amin Hossain,DNB,-,-,-,-,-,2,v India,Dhaka,24-Feb-16
Al-Amin Hossain,DNB,-,-,-,-,-,1,v U.A.E.,Dhaka,26-Feb-16
Al-Amin Hossain,DNB,-,-,-,-,-,1,v Sri Lanka,Dhaka,28-Feb-16
Al-Amin Hossain,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,2-Mar-16
