PlayerAscending,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,S/R single,SingleP
Nasir Hossain,2011-2016,31,24,4,370,50*,18.5,326,113.49,0,2,2,30,7,71.97231834,51.80014607
Mushfiqur Rahim,2006-2016,57,49,9,703,50,17.57,627,112.12,0,1,3,58,17,66.84782609,44.68631853
Shakib Al Hasan,2006-2016,54,54,8,1103,84,23.97,901,122.41,0,6,4,110,27,65.57591623,43.00200789
Mahmudullah,2007-2016,53,46,10,686,64*,19.05,593,115.68,0,2,2,50,25,64.86486486,42.07450694
Mohammad Ashraful,2007-2013,23,23,0,450,65,19.56,356,126.4,0,2,2,48,11,64.64646465,41.79165391
Sabbir Rahman,2014-2016,26,25,5,604,80,30.2,502,120.31,0,3,0,60,15,64.16861827,41.1761157
Aftab Ahmed,2006-2010,11,11,1,228,62*,22.8,178,128.08,0,1,0,26,6,60.2739726,36.32951773
Tamim Iqbal,2007-2016,52,52,5,1154,103*,24.55,1007,114.59,1,4,3,125,27,57.54385965,33.11295783
Junaid Siddique,2007-2012,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7,62.35294118,30.90871972
Mashrafe Mortaza,2006-2016,49,35,10,366,36,14.64,266,137.59,0,0,5,27,23,55.55555556,30.86419753
Anamul Haque,2012-2015,13,13,2,355,58,32.27,301,117.94,0,1,1,38,12,52.19123506,27.23925017
Soumya Sarkar,2015-2016,19,19,0,299,48,15.73,267,111.98,0,0,3,35,9,47.08520179,22.17016228
Nazimuddin,2007-2008,7,7,0,178,81,25.42,158,112.65,0,1,2,13,10,48.88888889,21.27209877
Naeem Islam,2008-2013,10,10,1,130,28,14.44,114,114.03,0,0,0,8,7,56.56565657,20.79787777
Ziaur Rahman,2012-2014,14,12,3,117,40*,13,91,128.57,0,0,3,3,10,57.69230769,19.47115385
Sohag Gazi,2012-2015,10,7,3,57,24,14.25,59,96.61,0,0,0,3,1,70.90909091,14.33008264
Nurul Hasan,2016-2016,6,5,2,54,30*,18,43,125.58,0,0,1,7,0,72.22222222,14.08333333
Liton Das,2015-2015,3,3,0,49,22,16.33,45,108.88,0,0,0,3,1,75.6097561,14.00624628
Mominul Haque,2012-2014,6,4,1,60,26*,20,50,120,0,0,0,5,2,65.11627907,12.7203894
Mohammad Mithun,2014-2016,12,8,0,85,47,10.62,93,91.39,0,0,2,6,3,51.19047619,11.13697562
Nadif Chowdhury,2006-2007,3,3,0,27,12,9,23,117.39,0,0,0,2,0,90.47619048,11.05102041
Farhad Reza,2006-2014,13,9,0,72,19,8,88,81.81,0,0,1,4,2,53.65853659,10.36525877
Shamsur Rahman,2013-2014,9,8,0,86,53,10.75,85,101.17,0,1,2,12,1,44.44444444,8.49382716
Raqibul Hasan,2008-2010,5,5,0,51,18,10.2,62,82.25,0,0,0,3,1,56.89655172,8.254904875
Jahurul Islam,2010-2013,3,3,0,31,18,10.33,23,134.78,0,0,0,3,1,68.42105263,7.256232687
Alok Kapali,2007-2011,7,7,2,57,19,11.4,85,67.05,0,0,2,3,1,48.14814815,6.606995885
Arafat Sunny,2014-2016,10,6,3,34,10,11.33,30,113.33,0,0,0,3,1,61.53846154,6.437869822
Rony Talukdar,2015-2015,1,1,0,21,21,21,22,95.45,0,0,0,0,1,71.42857143,5.357142857
Abdur Razzak,2006-2014,34,20,10,41,9,4.1,74,55.4,0,0,5,1,0,50.68493151,5.266372678
Shuvagata Hom,2016-2016,5,4,2,35,16*,17.5,35,100,0,0,0,3,1,54.83870968,5.262747138
Muktar Ali,2016-2016,1,1,1,19,19*,-,15,126.66,0,0,0,1,1,69.23076923,4.553254438
Shahriar Nafees,2006-2006,1,1,0,25,25,25,17,147.05,0,0,0,3,1,53.84615385,3.624260355
Nazmus Sadat,2006-2006,1,1,0,4,4,4,3,133.33,0,0,0,0,0,133.3333333,3.555555556
Imrul Kayes,2010-2016,8,8,0,67,22,8.37,89,75.28,0,0,2,8,2,29.11392405,2.839528922
Mosaddek Hossain,2016-2016,1,1,0,15,15,15,19,78.94,0,0,0,1,0,61.11111111,2.800925926
Abul Hasan,2012-2012,4,1,0,9,9,9,8,112.5,0,0,0,1,0,71.42857143,2.295918367
Mehrab Hossain jnr,2008-2009,2,2,1,16,10,16,25,64,0,0,0,1,0,50,2
Shahadat Hossain,2006-2013,6,5,3,8,4*,4,12,66.66,0,0,1,0,0,66.66666667,1.777777778
Elias Sunny,2012-2012,7,4,2,9,5,4.5,9,100,0,0,0,1,0,62.5,1.7578125
Abu Hider,2016-2016,5,1,0,14,14,14,10,140,0,0,0,1,1,50,1.75
Taskin Ahmed,2014-2016,13,3,2,17,15*,17,18,94.44,0,0,0,1,1,43.75,1.626953125
Mohammad Rafique,2006-2006,1,1,0,13,13,13,5,260,0,0,0,3,0,50,1.625
Shafiul Islam,2010-2013,11,4,1,18,16,6,24,75,0,0,1,1,1,36.36363636,1.190082645
Syed Rasel,2007-2008,8,3,1,7,6,3.5,9,77.77,0,0,0,1,0,37.5,0.4921875
Rubel Hossain,2009-2014,11,4,3,8,8*,8,13,61.53,0,0,1,1,0,33.33333333,0.444444444
Al-Amin Hossain,2013-2016,25,5,3,7,5*,3.5,12,58.33,0,0,1,1,0,27.27272727,0.260330579
Mustafizur Rahman,2015-2016,13,5,1,8,6,2,11,72.72,0,0,2,0,1,20,0.16
Dhiman Ghosh,2008-2008,1,1,0,1,1,1,2,50,0,0,0,0,0,50,0.125
