Player,SpanDescending,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Combination of Bowling,Over/Match
Abdur Razzak,2006-2014,34,33,121.4,4,838,44,Apr-16,19.04,6.88,16.5,1,0,5.433464289,3.57
Abu Hider,2016-2016,5,4,11,0,102,3,Feb-40,34,9.27,22,0,0,8.179090909,2.2
Abul Hasan,2012-2012,4,4,11,0,108,2,Feb-33,54,9.81,33,0,0,9.082727273,2.75
Aftab Ahmed,2006-2010,11,1,0.2,0,8,0,-,-,24,-,0,0,24,0.02
Al-Amin Hossain,2013-2016,25,23,79.2,0,592,39,Mar-20,15.17,7.46,12.2,0,0,5.493530821,3.17
Alok Kapali,2007-2011,7,2,5,0,35,2,02-Dec,17.5,7,15,0,0,5.4,0.71
Anamul Haque,2012-2015,13,-,-,-,-,-,-,-,-,-,-,-,0,0
Arafat Sunny,2014-2016,10,10,31,0,230,12,Feb-17,19.16,7.41,15.5,0,0,5.861612903,3.1
Dhiman Ghosh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Elias Sunny,2012-2012,7,7,23,1,146,9,May-13,16.22,6.34,15.3,0,1,4.774782609,3.29
Farhad Reza,2006-2014,13,11,26,0,261,6,Feb-34,43.5,10.03,26,0,0,9.106923077,2
Imrul Kayes,2010-2016,8,-,-,-,-,-,-,-,-,-,-,-,0,0
Jahurul Islam,2010-2013,3,-,-,-,-,-,-,-,-,-,-,-,0,0
Jubair Hossain,2015-2015,1,1,2,0,20,2,Feb-20,10,10,6,0,0,6,2
Junaid Siddique,2007-2012,7,-,-,-,-,-,-,-,-,-,-,-,0,0
Liton Das,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-,0,0
Mahmudullah,2007-2016,53,36,87.1,2,617,21,02-May,29.38,7.07,24.9,0,0,6.106332557,1.64
Mashrafe Mortaza,2006-2016,49,48,171.3,1,1363,38,Apr-19,35.86,7.94,27,1,0,7.053702624,3.5
Mehrab Hossain jnr,2008-2009,2,1,2.5,0,20,0,-,-,7.05,-,0,0,7.05,1.25
