Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,Start Date,BowlingType
Alok Kapali,DNB,-,-,-,-,1,v Kenya,Nairobi (Gym),1-Sep-07,RightSpin
Alok Kapali,DNB,-,-,-,-,1,v Pakistan,Nairobi (Gym),2-Sep-07,RightSpin
Alok Kapali,DNB,-,-,-,-,1,v West Indies,Johannesburg,13-Sep-07,RightSpin
Alok Kapali,DNB,-,-,-,-,2,v South Africa,Cape Town,15-Sep-07,RightSpin
Alok Kapali,2,0,23,0,11.5,2,v Australia,Cape Town,16-Sep-07,RightSpin
Alok Kapali,DNB,-,-,-,-,1,v West Indies,Dhaka,11-Oct-11,RightSpin
Alok Kapali,3,0,12,2,4,1,v Pakistan,Dhaka,29-Nov-11,RightSpin
Jahurul Islam,DNB,-,-,-,-,1,v Australia,Bridgetown,5-May-10,RightSpin
Jahurul Islam,DNB,-,-,-,-,2,v Netherlands,The Hague,26-Jul-12,RightSpin
Jahurul Islam,DNB,-,-,-,-,1,v Sri Lanka,Pallekele,31-Mar-13,RightSpin
Jubair Hossain,2,0,20,2,10,1,v Zimbabwe,Dhaka,13-Nov-15,RightSpin
Junaid Siddique,DNB,-,-,-,-,2,v Pakistan,Cape Town,20-Sep-07,RightSpin
Junaid Siddique,DNB,-,-,-,-,1,v South Africa,Johannesburg,5-Nov-08,RightSpin
Junaid Siddique,DNB,-,-,-,-,1,v India,Nottingham,6-Jun-09,RightSpin
Junaid Siddique,DNB,-,-,-,-,2,v Ireland,Nottingham,8-Jun-09,RightSpin
Junaid Siddique,DNB,-,-,-,-,2,v West Indies,Basseterre,2-Aug-09,RightSpin
Junaid Siddique,DNB,-,-,-,-,1,v Netherlands,The Hague,25-Jul-12,RightSpin
Junaid Siddique,DNB,-,-,-,-,2,v Netherlands,The Hague,26-Jul-12,RightSpin
Mahmudullah,DNB,-,-,-,-,1,v Kenya,Nairobi (Gym),1-Sep-07,RightSpin
Mahmudullah,DNB,-,-,-,-,1,v Pakistan,Nairobi (Gym),2-Sep-07,RightSpin
