Partners,Span,Inns,NO,RunsDescending,High,Ave,Overs,RR,100,50
"Mushfiqur Rahim, Shakib Al Hasan",2006-2016,18,0,429,112,23.83,63.3,6.75,1,1
"Sabbir Rahman, Shakib Al Hasan",2014-2016,10,4,358,105*,59.66,42.5,8.35,1,2
"Sabbir Rahman, Tamim Iqbal",2015-2016,9,0,329,97,36.55,37.2,8.81,0,1
"Soumya Sarkar, Tamim Iqbal",2015-2016,12,0,317,61,26.41,39.1,8.09,0,1
"Shakib Al Hasan, Tamim Iqbal",2008-2016,14,1,301,82,23.15,37.2,8.06,0,2
"Mohammad Ashraful, Tamim Iqbal",2008-2012,11,0,275,62,25,39,7.05,0,1
"Anamul Haque, Tamim Iqbal",2012-2015,12,1,272,63,24.72,40,6.8,0,1
"Mahmudullah, Tamim Iqbal",2009-2016,5,1,239,132*,59.75,30.2,7.87,1,1
"Mahmudullah, Mushfiqur Rahim",2007-2016,12,1,176,51*,16,23.2,7.54,0,2
"Mahmudullah, Shakib Al Hasan",2007-2016,14,0,171,29,12.21,25.1,6.79,0,0
"Anamul Haque, Shakib Al Hasan",2014-2014,6,1,163,48,32.6,18.5,8.65,0,0
"Mushfiqur Rahim, Sabbir Rahman",2014-2016,7,1,159,52*,26.5,20.5,7.63,0,1
"Mahmudullah, Nasir Hossain",2012-2014,7,0,156,50,22.28,22.2,6.98,0,1
"Aftab Ahmed, Mohammad Ashraful",2007-2010,6,0,155,109,25.83,17.1,9.02,1,0
"Mushfiqur Rahim, Naeem Islam",2008-2013,7,0,148,43,21.14,17.1,8.62,0,0
"Sabbir Rahman, Soumya Sarkar",2016-2016,6,0,145,67,24.16,21.1,6.85,0,1
"Mohammad Ashraful, Shakib Al Hasan",2007-2012,6,0,144,91,24,18.4,7.71,0,1
"Mushfiqur Rahim, Nasir Hossain",2011-2015,9,0,143,54,15.88,19.2,7.39,0,1
"Junaid Siddique, Tamim Iqbal",2007-2012,7,0,138,45,19.71,18.4,7.39,0,0
"Nazimuddin, Tamim Iqbal",2007-2008,7,0,135,41,19.28,22.2,6.04,0,0
"Mahmudullah, Mashrafe Mortaza",2007-2016,12,4,132,27*,16.5,17,7.76,0,0
"Shamsur Rahman, Shakib Al Hasan",2013-2014,2,0,126,118,63,16.4,7.56,1,0
"Mushfiqur Rahim, Tamim Iqbal",2012-2016,5,1,111,82*,27.75,14.1,7.83,0,1
"Aftab Ahmed, Nazimuddin",2007-2008,3,0,108,48,36,8.1,13.22,0,0
"Mohammad Ashraful, Mushfiqur Rahim",2011-2013,4,0,97,41,24.25,12.4,7.65,0,0
"Nasir Hossain, Shakib Al Hasan",2012-2015,4,0,96,44,24,12.3,7.68,0,0
"Nasir Hossain, Ziaur Rahman",2012-2012,4,1,94,36*,31.33,8.4,10.84,0,0
"Aftab Ahmed, Shakib Al Hasan",2006-2010,5,0,89,26,17.8,10,8.9,0,0
"Aftab Ahmed, Tamim Iqbal",2007-2007,4,0,87,26,21.75,10.1,8.55,0,0
"Mahmudullah, Nurul Hasan",2016-2016,3,0,74,57,24.66,8.4,8.53,0,1
"Mohammad Mithun, Sabbir Rahman",2016-2016,3,0,74,26,24.66,11.4,6.34,0,0
"Mashrafe Mortaza, Shakib Al Hasan",2006-2016,4,1,72,29*,24,8.5,8.15,0,0
"Anamul Haque, Mushfiqur Rahim",2014-2015,2,0,70,46,35,10.1,6.88,0,0
"Mashrafe Mortaza, Mushfiqur Rahim",2007-2016,5,1,70,48,17.5,8.4,8.07,0,0
"Aftab Ahmed, Junaid Siddique",2007-2007,1,0,63,63,63,7,9,0,1
"Anamul Haque, Nasir Hossain",2014-2015,4,0,61,25,15.25,9.3,6.42,0,0
"Shamsur Rahman, Tamim Iqbal",2013-2014,4,0,61,52,15.25,8,7.62,0,1
"Anamul Haque, Sabbir Rahman",2014-2015,3,0,58,39,19.33,9.2,6.21,0,0
"Imrul Kayes, Tamim Iqbal",2010-2015,3,0,58,34,19.33,8.1,7.1,0,0
"Mahmudullah, Sabbir Rahman",2014-2016,3,1,58,45*,29,6.5,8.48,0,0
"Mahmudullah, Sohag Gazi",2013-2013,1,0,57,57,57,5.5,9.77,0,1
"Mohammad Ashraful, Nazimuddin",2007-2008,3,0,57,26,19,8.5,6.45,0,0
"Mohammad Mithun, Soumya Sarkar",2016-2016,4,0,57,46,14.25,9.2,6.1,0,0
"Nasir Hossain, Tamim Iqbal",2012-2016,3,0,54,25,18,8,6.75,0,0
"Aftab Ahmed, Shahriar Nafees",2006-2006,1,0,53,53,53,5,10.6,0,1
"Muktar Ali, Nurul Hasan",2016-2016,1,1,49,49*,-,5.1,9.48,0,0
"Abdur Razzak, Mashrafe Mortaza",2006-2013,5,1,48,20*,12,5.3,8.72,0,0
"Mohammad Mithun, Shakib Al Hasan",2016-2016,2,0,44,37,22,5.1,8.51,0,0
"Mominul Haque, Mushfiqur Rahim",2013-2014,2,0,43,35,21.5,6.3,6.61,0,0
"Mahmudullah, Ziaur Rahman",2012-2014,4,0,39,34,9.75,3.3,11.14,0,0
"Liton Das, Mahmudullah",2015-2015,1,0,38,38,38,4.2,8.76,0,0
"Mohammad Ashraful, Nasir Hossain",2012-2012,1,0,37,37,37,5.5,6.34,0,0
"Mushfiqur Rahim, Soumya Sarkar",2016-2016,1,0,37,37,37,5.1,7.16,0,0
"Imrul Kayes, Mahmudullah",2016-2016,1,0,36,36,36,4.1,8.64,0,0
"Junaid Siddique, Mohammad Ashraful",2007-2009,2,0,36,31,18,3.5,9.39,0,0
"Mahmudullah, Soumya Sarkar",2016-2016,2,0,36,31,18,6.5,5.26,0,0
"Mominul Haque, Nasir Hossain",2013-2013,1,0,36,36,36,3.4,9.81,0,0
"Tamim Iqbal, Ziaur Rahman",2012-2012,1,0,36,36,36,5,7.2,0,0
"Alok Kapali, Mashrafe Mortaza",2007-2007,2,1,35,24,35,4.5,7.24,0,0
"Imrul Kayes, Sabbir Rahman",2016-2016,2,0,35,35,17.5,6.4,5.25,0,0
"Mushfiqur Rahim, Raqibul Hasan",2009-2009,2,0,34,24,17,6.4,5.1,0,0
"Naeem Islam, Shakib Al Hasan",2008-2009,2,0,32,31,16,3.5,8.34,0,0
"Alok Kapali, Mohammad Ashraful",2007-2011,2,0,31,28,15.5,4.4,6.64,0,0
"Imrul Kayes, Mohammad Ashraful",2010-2011,2,0,30,26,15,5.3,5.45,0,0
