,Avrg Point,Carrier Point,Consistency,Four Point,Partner Point,Single Point,Six Point
Shahadat Hossain,3.2916666665,21.705665394722296,11.636220950222294,0.0,5.0,1.7777777780000001,0.0
Syed Rasel,6.0833333335,12.131076389055554,0.0,0.5555555555555556,5.0,0.4921875,0.0
Elias Sunny,5.833333333000001,13.146701388555556,0.0,0.5555555555555556,5.0,1.7578125,0.0
Nadif Chowdhury,10.950793652333333,29.538045946391303,0.0,0.8695652173913043,6.666666666666666,11.05102041,0.0
Mehrab Hossain jnr,10.382352941,22.582352941,0.0,0.2,10.0,2.0,0.0
Mohammad Shahid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liton Das,18.99481074666667,44.83439036,0.0,0.9999999999999999,10.0,14.00624628,0.8333333333333335
Mosaddek Hossain,11.84210526,24.906189080736844,0.0,0.2631578947368421,10.0,2.800925926,0.0
Rony Talukdar,20.04545455,47.107142861545455,0.0,0.0,20.0,5.3571428569999995,1.7045454545454548
Naeem Islam,19.194210074888886,79.1062394616141,11.688713020233987,2.807017543859649,8.5,20.79787777,16.11842105263158
Sabbir Rahman,33.092496391125,117.9219076798222,10.295925070768902,11.952191235059761,10.2,41.176115700000004,11.205179282868526
Muktar Ali,0.0,17.386587771333332,0.0,0.3333333333333333,10.0,4.553254438,2.5
Junaid Siddique,36.64332979671428,115.7637905272152,9.346000269760182,11.851851851851851,10.0,30.90871972,17.01388888888889
Nurul Hasan,19.6352941175,53.26899481458412,8.852692948479469,5.697674418604651,5.0,14.08333333,0.0
Nasir Hossain,20.381913434772727,107.4588696921294,10.437853132141955,9.202453987730062,10.0,51.80014607,5.636503067484662
Saqlain Sajib,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aftab Ahmed,31.635499314545452,111.21969331890668,10.15457412931527,14.606741573033709,10.909090909090908,36.32951773,7.584269662921347
Nazmus Sadat,5.333333333,13.888888888999999,0.0,0.0,5.0,3.5555555560000003,0.0
Mominul Haque,19.5559210525,49.0263104525,0.0,2.5,11.25,12.7203894,3.0
Alok Kapali,11.528916231,36.10686942340777,9.143226214970795,0.5294117647058824,7.857142857142857,6.606995885,0.44117647058823534
Sohag Gazi,16.91607142825,51.39914803070209,10.897546020563468,0.7627118644067796,7.857142857142857,14.33008264,0.6355932203389831
Abul Hasan,10.125,28.045918367,0.0,0.625,15.0,2.295918367,0.0
Ziaur Rahman,19.876543310200002,95.96377934460804,7.412785481111326,0.49450549450549447,7.5,19.47115385,41.20879120879121
